"","Aripiprazole","Asenapine","Clozapine","Fluphenazine","Haloperidol","Loxapine","Lurasidone","Molindone","Olanzapine","Paliperidone","Placebo","Quetiapine","Risperidone","Trifluoperazine","Ziprasidone"
"Aripiprazole",NA,"-0.159(-0.456,0.129)","0.322(-0.019,0.657)","-0.824(-1.289,-0.374)","-0.132(-0.433,0.184)","-0.323(-0.658,0.023)","-0.06(-0.337,0.21)","0.105(-0.275,0.472)","0.18(-0.085,0.446)","0(-0.214,0.232)","-0.435(-0.604,-0.259)","-0.103(-0.33,0.133)","0.158(-0.111,0.431)","-0.333(-0.752,0.054)","-0.26(-0.529,0.004)"
"Asenapine","0.159(-0.129,0.456)",NA,"0.481(0.097,0.873)","-0.665(-1.133,-0.21)","0.027(-0.297,0.353)","-0.163(-0.541,0.202)","0.099(-0.237,0.43)","0.265(-0.136,0.662)","0.34(0.034,0.641)","0.16(-0.165,0.496)","-0.276(-0.502,-0.029)","0.057(-0.242,0.368)","0.317(0.017,0.635)","-0.174(-0.61,0.243)","-0.101(-0.4,0.214)"
"Clozapine","-0.322(-0.657,0.019)","-0.481(-0.873,-0.097)",NA,"-1.146(-1.64,-0.681)","-0.454(-0.8,-0.091)","-0.645(-1.05,-0.225)","-0.382(-0.746,-0.026)","-0.217(-0.635,0.197)","-0.142(-0.469,0.191)","-0.322(-0.665,0.039)","-0.757(-1.043,-0.456)","-0.425(-0.762,-0.068)","-0.164(-0.508,0.201)","-0.655(-1.126,-0.217)","-0.582(-0.933,-0.216)"
"Fluphenazine","0.824(0.374,1.289)","0.665(0.21,1.133)","1.146(0.681,1.64)",NA,"0.692(0.251,1.131)","0.502(0.017,1.019)","0.764(0.311,1.226)","0.93(0.402,1.452)","1.005(0.559,1.464)","0.825(0.383,1.288)","0.389(-0.022,0.8)","0.722(0.287,1.181)","0.982(0.535,1.447)","0.491(-0.018,1.033)","0.564(0.119,1.011)"
"Haloperidol","0.132(-0.184,0.433)","-0.027(-0.353,0.297)","0.454(0.091,0.8)","-0.692(-1.131,-0.251)",NA,"-0.191(-0.535,0.141)","0.072(-0.261,0.386)","0.238(-0.148,0.634)","0.312(0.024,0.6)","0.132(-0.16,0.451)","-0.303(-0.544,-0.065)","0.029(-0.287,0.336)","0.29(-0.005,0.586)","-0.201(-0.608,0.174)","-0.128(-0.455,0.187)"
"Loxapine","0.323(-0.023,0.658)","0.163(-0.202,0.541)","0.645(0.225,1.05)","-0.502(-1.019,-0.017)","0.191(-0.141,0.535)",NA,"0.263(-0.101,0.615)","0.428(-0.027,0.864)","0.503(0.153,0.844)","0.323(-0.031,0.677)","-0.113(-0.414,0.173)","0.22(-0.146,0.569)","0.48(0.113,0.827)","-0.011(-0.327,0.312)","0.063(-0.31,0.431)"
"Lurasidone","0.06(-0.21,0.337)","-0.099(-0.43,0.237)","0.382(0.026,0.746)","-0.764(-1.226,-0.311)","-0.072(-0.386,0.261)","-0.263(-0.615,0.101)",NA,"0.166(-0.219,0.558)","0.241(-0.049,0.533)","0.061(-0.215,0.365)","-0.375(-0.574,-0.159)","-0.043(-0.315,0.262)","0.218(-0.066,0.521)","-0.273(-0.678,0.122)","-0.2(-0.503,0.11)"
"Molindone","-0.105(-0.472,0.275)","-0.265(-0.662,0.136)","0.217(-0.197,0.635)","-0.93(-1.452,-0.402)","-0.238(-0.634,0.148)","-0.428(-0.864,0.027)","-0.166(-0.558,0.219)",NA,"0.075(-0.262,0.394)","-0.105(-0.491,0.302)","-0.541(-0.873,-0.196)","-0.208(-0.588,0.179)","0.052(-0.294,0.4)","-0.439(-0.922,0.041)","-0.365(-0.774,0.055)"
"Olanzapine","-0.18(-0.446,0.085)","-0.34(-0.641,-0.034)","0.142(-0.191,0.469)","-1.005(-1.464,-0.559)","-0.312(-0.6,-0.024)","-0.503(-0.844,-0.153)","-0.241(-0.533,0.049)","-0.075(-0.394,0.262)",NA,"-0.18(-0.454,0.104)","-0.616(-0.804,-0.414)","-0.283(-0.536,-0.008)","-0.023(-0.267,0.224)","-0.514(-0.934,-0.108)","-0.44(-0.732,-0.161)"
"Paliperidone","0(-0.232,0.214)","-0.16(-0.496,0.165)","0.322(-0.039,0.665)","-0.825(-1.288,-0.383)","-0.132(-0.451,0.16)","-0.323(-0.677,0.031)","-0.061(-0.365,0.215)","0.105(-0.302,0.491)","0.18(-0.104,0.454)",NA,"-0.436(-0.648,-0.229)","-0.103(-0.379,0.174)","0.157(-0.118,0.436)","-0.334(-0.756,0.049)","-0.26(-0.554,0.026)"
"Placebo","0.435(0.259,0.604)","0.276(0.029,0.502)","0.757(0.456,1.043)","-0.389(-0.8,0.022)","0.303(0.065,0.544)","0.113(-0.173,0.414)","0.375(0.159,0.574)","0.541(0.196,0.873)","0.616(0.414,0.804)","0.436(0.229,0.648)",NA,"0.333(0.145,0.531)","0.593(0.401,0.786)","0.102(-0.269,0.448)","0.175(-0.038,0.401)"
"Quetiapine","0.103(-0.133,0.33)","-0.057(-0.368,0.242)","0.425(0.068,0.762)","-0.722(-1.181,-0.287)","-0.029(-0.336,0.287)","-0.22(-0.569,0.146)","0.043(-0.262,0.315)","0.208(-0.179,0.588)","0.283(0.008,0.536)","0.103(-0.174,0.379)","-0.333(-0.531,-0.145)",NA,"0.26(-0.017,0.516)","-0.231(-0.639,0.155)","-0.157(-0.443,0.134)"
"Risperidone","-0.158(-0.431,0.111)","-0.317(-0.635,-0.017)","0.164(-0.201,0.508)","-0.982(-1.447,-0.535)","-0.29(-0.586,0.005)","-0.48(-0.827,-0.113)","-0.218(-0.521,0.066)","-0.052(-0.4,0.294)","0.023(-0.224,0.267)","-0.157(-0.436,0.118)","-0.593(-0.786,-0.401)","-0.26(-0.516,0.017)",NA,"-0.491(-0.886,-0.099)","-0.418(-0.702,-0.116)"
"Trifluoperazine","0.333(-0.054,0.752)","0.174(-0.243,0.61)","0.655(0.217,1.126)","-0.491(-1.033,0.018)","0.201(-0.174,0.608)","0.011(-0.312,0.327)","0.273(-0.122,0.678)","0.439(-0.041,0.922)","0.514(0.108,0.934)","0.334(-0.049,0.756)","-0.102(-0.448,0.269)","0.231(-0.155,0.639)","0.491(0.099,0.886)",NA,"0.073(-0.315,0.494)"
"Ziprasidone","0.26(-0.004,0.529)","0.101(-0.214,0.4)","0.582(0.216,0.933)","-0.564(-1.011,-0.119)","0.128(-0.187,0.455)","-0.063(-0.431,0.31)","0.2(-0.11,0.503)","0.365(-0.055,0.774)","0.44(0.161,0.732)","0.26(-0.026,0.554)","-0.175(-0.401,0.038)","0.157(-0.134,0.443)","0.418(0.116,0.702)","-0.073(-0.494,0.315)",NA
